Name,E[Cost],E[Effect],E[dCost],E[dEffect],ICER
Digital,"28,508 (27,166, 29,852)","18.67 (18.49, 18.86)",-,-,-
Film,"31,407 (29,926, 32,890)","17.99 (17.75, 18.23)",-,-,Dominated
